time-stamp,java-file,seed,smt-result,error-message,smt-time,total-time,data-nodes,ctrl-nodes,mem-nodes
2026-05-26 15:49:23.50175841 UTC,Test130.java,12970006053826661661,Unsat,,0.014941712s,0.057084329s,36,4,2
2026-05-26 15:49:28.763911847 UTC,Test131.java,6628801791721134828,Unsat,,0.01694262s,0.086050892s,58,12,2
2026-05-26 15:49:34.480827352 UTC,Test132.java,8231970545259581286,Unsat,,0.017544893s,0.096341978s,59,12,2
2026-05-26 15:49:40.285699391 UTC,Test133.java,6620044936267895616,Unknown,timeout,45.15582458s,45.25898411s,69,21,4
2026-05-26 15:50:31.040536259 UTC,Test134.java,17843790325970876055,Unsat,,0.018846086s,0.100211469s,69,12,2
2026-05-26 15:50:36.558160433 UTC,Test135.java,12588806096780070928,Unsat,,0.024462025s,0.135050677s,111,32,5
2026-05-26 15:50:42.215484078 UTC,Test136.java,1747731499274063167,Unsat,,0.039827558s,0.439640989s,137,48,10
2026-05-26 15:50:48.418331276 UTC,Test137.java,674115201801325441,Unsat,,0.026226754s,0.16598082s,115,28,2
2026-05-26 15:50:54.188376606 UTC,Test138.java,12522543720002529458,Unsat,,0.030537287s,0.178479931s,121,40,9
2026-05-26 15:50:59.9438153 UTC,Test139.java,10010887486565259019,Unknown,timeout,46.355198212s,46.550622851s,144,45,2
2026-05-26 15:51:52.219030543 UTC,Test140.java,17455570181191505201,Unsat,,0.019680349s,0.09750696s,73,12,4
2026-05-26 15:51:57.903905055 UTC,Test141.java,16250418760702468431,Unsat,,0.015249469s,0.060595293s,59,8,7
2026-05-26 15:52:03.126948029 UTC,Test142.java,15703401015198976918,Unsat,,0.022527108s,0.139897867s,97,28,2
2026-05-26 15:52:08.941026694 UTC,Test143.java,1161725472374869078,Unsat,,0.024978741s,0.150174576s,131,13,2
2026-05-26 15:52:14.616074999 UTC,Test144.java,16732828531540040018,Unsat,,0.021783811s,0.119213475s,82,24,6
2026-05-26 15:52:20.455039498 UTC,Test145.java,3306170609434512502,Unsat,,0.021414404s,0.113312484s,75,12,2
2026-05-26 15:52:26.152667457 UTC,Test146.java,13358681447173353526,Unsat,,0.017489461s,0.059836348s,34,4,2
2026-05-26 15:52:31.52812392 UTC,Test147.java,16341872415677977729,Unknown,timeout,46.102017815s,46.244636091s,121,28,2
2026-05-26 15:53:23.387189014 UTC,Test148.java,5670999547271894200,Unsat,,0.019524265s,0.139494735s,95,28,2
2026-05-26 15:53:29.034427528 UTC,Test149.java,3068051703572084615,Unsat,,0.012635124s,0.077910088s,6,4,2
2026-05-26 15:53:34.614594356 UTC,Test150.java,17677223064399905164,Unsat,,0.016812754s,0.050559754s,20,4,2
2026-05-26 15:53:39.767386069 UTC,Test151.java,12528174600094574916,Unsat,,0.015543941s,0.074978774s,39,12,2
2026-05-26 15:53:45.362325639 UTC,Test152.java,8436832425475326010,Unsat,,0.02884733s,0.175646268s,115,20,4
2026-05-26 15:53:51.056964474 UTC,Test153.java,11440928061748143582,Unsat,,0.012881261s,0.262565715s,86,24,2
2026-05-26 15:53:57.10118516 UTC,Test154.java,1800079385755592717,Unsat,,0.024817559s,0.118375393s,87,24,8
2026-05-26 15:54:02.346970607 UTC,Test155.java,4236798385270126137,Unsat,,0.01643309s,0.073521889s,69,16,6
2026-05-26 15:54:07.556192759 UTC,Test156.java,17548704364204190469,Unsat,,0.023865739s,0.088243085s,77,12,3
2026-05-26 15:54:12.95816604 UTC,Test157.java,4056349261579959373,Unsat,,0.01931246s,0.107298964s,71,12,4
2026-05-26 15:54:18.782225411 UTC,Test158.java,7238030825564914318,Unsat,,17.529234482s,17.566370927s,22,4,2
2026-05-26 15:54:41.368470239 UTC,Test159.java,7451795781639488208,Unsat,,0.021262169s,0.117572805s,118,24,6
